District,Representative,Party,Prior experience,Education,Assumed Office,Born In,
California 53,Susan Davis Cropped.jpg Susan Davis,,Democratic,"California State Assembly, San Diego School Board","University of California, Berkeley",,
University of North Carolina at Chapel Hill,2001,1944,,,,,
Colorado 1,"Diana DeGette, official Congressional photo.JPG Diana DeGette",,Democratic,Colorado House of Representatives,Colorado College,1997,1957
Colorado 2,Jared Polis Official 2012.jpg Jared Polis,,Democratic,"Colorado State Board of Education, Internet Executive",Princeton University,2009,1975
Colorado 3,"Scott Tipton, Official Portrait, 112th Congress.JPG Scott Tipton",,Republican,Colorado House of Representatives,Fort Lewis College,2011,1956
Colorado 4,Ken Buck official congressional photo.jpg Ken Buck,,Republican,"Weld County District Attorney, Prosecutor U.S. Attorney's Office","Princeton University, University of Wyoming",2015,1959
Colorado 5,Doug Lamborn official portrait.jpg Doug Lamborn,,Republican,"President pro tempore of the Colorado Senate, Colorado House of Representatives",University of Kansas,2007,1954
Colorado 6,Mike Coffman.jpg Mike Coffman,,Republican,"Secretary of State of Colorado, Colorado State Treasurer, Colorado Senate, Colorado House of Representatives",University of Colorado,2009,1955
Colorado 7,Ed Perlmutter 113th Congress.jpg Ed Perlmutter,,Democratic,Colorado Senate,University of Colorado,2007,1953
Connecticut 1,"John B Larson, Official Portrait, circa 111 - 112th Congress.jpg John B. Larson",,Democratic,"Connecticut Senate, East Hartford, Connecticut City Council, East Hartford, Connecticut Board of Education",Central Connecticut State University,1999,1948
Connecticut 2,"Joe Courtney, official 110th Congress photo portrait.jpg Joe Courtney",,Democratic,Connecticut House of Representatives,Tufts University,2007,1953
Connecticut 3,Rosa DeLauro Portrait.jpg Rosa DeLauro,,Democratic,"Executive Director of EMILY's List, Political aide",Marymount College,1991,1943
Connecticut 4,Jim Himes Official.jpg Jim Himes,,Democratic,"Financial executive, Greenwich Housing Authority Board",Harvard University,,
University of Oxford,2009,1966,,,,,
Connecticut 5,Esty-official-portrait-114.jpg Elizabeth Esty,,Democratic,Connecticut House of Representatives,Harvard University,,
Yale University,2013,1959,,,,,
Delaware At Large,John C. Carney Jr. official portrait 112th Congress.jpg John Carney,,Democratic,"Lieutenant Governor of Delaware, Delaware Secretary of Finance",Dartmouth College,,
University of Delaware,2011,1956,,,,,
Florida 1,Jeff Miller Congress.JPG Jeff Miller,,Republican,"Florida House of Representatives, Santa Rosa County, Florida Deputy Sheriff",University of Florida,2001,1959
Florida 2,Official Congressional Portrait of Gwen Graham (FL-02).jpg Gwen Graham,,Democratic,"Attorney, Leon County School Administrator",University of North Carolina at Chapel Hill,,
Washington College of Law,2015,1963,,,,,
Florida 3,"Ted Yoho, official portrait, 113th Congress.jpg Ted Yoho",,Republican,Veterinarian,University of Florida,2013,1955
Florida 4,AnderCrenshaw Official Head Shot - 2009.jpg Ander Crenshaw,,Republican,"Florida Senate, Florida House of Representatives",University of Georgia,,
University of Florida,2001,1944,,,,,
Florida 5,Corrinebrown.jpeg Corrine Brown,,Democratic,Florida House of Representatives,Florida A&M University,1993,1946
Florida 6,"Ron DeSantis, Official Portrait, 113th Congress.jpg Ron DeSantis",,Republican,"Prosecutor U.S. Attorney's Office, U.S. Navy",Yale University,,
Harvard Law School,2013,1978,,,,,
Florida 7,John Mica Portrait.jpg John Mica,,Republican,Florida House of Representatives,University of Florida,1993,1943
Florida 8,Bill Posey.jpg Bill Posey,,Republican,"Florida Senate, Florida House of Representatives, Rockledge, Florida City Council",Nova Southeastern University,2009,1947
Florida 9,Alan Grayson high res.jpg Alan Grayson,,Democratic,U.S. House,Harvard University,2013,1958
Florida 10,"Daniel Webster, Official Portrait, 112th Congress.jpg Daniel Webster",,Republican,"Florida Senate, Speaker of the Florida House of Representatives",Georgia Institute of Technology,2011,1949
Florida 11,"Rich Nugent, Official Portrait, 112th Congress 2.jpg Rich Nugent",,Republican,"Sheriff of Hernando County, Florida",Saint Leo University,,
Troy University,2011,1951,,,,,
Florida 12,Gusbilirakis.jpeg Gus Bilirakis,,Republican,Florida House of Representatives,University of Florida,,
Stetson University College of Law,2007,1963,,,,,
Florida 13,David Jolly.jpg David Jolly,,Republican,"Attorney, general counsel to former Congressman Bill Young",Emory University,,
George Mason University School of Law,2014*,1972,,,,,
Florida 14,Kathy castor.png Kathy Castor,,Democratic,"Assistant General Counsel to the Florida Department of Community Affairs, President of the Florida Association of Women Lawyers, Hillsborough County, Florida Board of Commissioners",Emory University,2007,1966
Florida 15,Dennis-Ross.jpg Dennis Ross,,Republican,Florida House of Representatives,Auburn University,,
Cumberland School of Law,2011,1959,,,,,
Florida 16,Vern Buchanan Official.jpg Vern Buchanan,,Republican,Auto Dealer,Cleary University,2007,1951
