District,Representative,Party,Prior experience,Education,Assumed Office,Born In,
University of Tennessee,2009,1945,,,,,
Tennessee 2,"John J. Duncan, official photo portrait.jpg Jimmy Duncan",,Republican,state court judge,University of Tennessee,,
George Washington University,1988*,1947,,,,,
Tennessee 3,"Chuck Flieschmann, Official Portrait, 112th Congress.jpg Chuck Fleischmann",,Republican,attorney,University of Illinois,,
University of Tennessee College of Law,2011,1962,,,,,
Tennessee 4,"Scott DesJarlais, Official Portrait, 112th Congress.jpg Scott DesJarlais",,Republican,Physician,University of South Dakota,,
University of South Dakota School of Medicine,2011,1964,,,,,
Tennessee 5,Jim Cooper 113th Congress.jpg Jim Cooper,,Democratic,"U.S. House, college professor",University of North Carolina,,
Oriel College,,,,,,,
Harvard Law School,2003,1954,,,,,
Tennessee 6,RepBlack OfficialPhoto.jpg Diane Black,,Republican,"Tennessee House of Representatives, Tennessee Senate",Belmont University,2011,1951
Tennessee 7,Marsha blackburn congress.jpg Marsha Blackburn,,Republican,Tennessee Senate,Mississippi State University,2003,1952
Tennessee 8,Congressman Stephen Fincher Official Headshot.jpg Stephen Fincher,,Republican,farmer,,2011,1973
Tennessee 9,Stevecohen.jpeg Steve Cohen,,Democratic,"Tennessee Senate, Attorney",Vanderbilt University,,
University of Memphis,2007,1949,,,,,
Texas 1,Louie Gohmert official congressional photo.jpg Louie Gohmert,,Republican,Texas appeals court judge,Texas A&M University,,
Baylor University,2005,1953,,,,,
Texas 2,Ted Poe Official.jpg Ted Poe,,Republican,Texas state district judge,Abilene Christian University,,
University of Houston Law Center,2005,1948,,,,,
Texas 3,Sam Johnson 113th Congress.jpg Sam Johnson,,Republican,"Texas House of Representatives, Colonel United States Air Force",Southern Methodist University,1991*,1930
Texas 4,John Ratcliffe official congressional photo.jpg John Ratcliffe,,Republican,"Mayor of Heath, U.S. Attorney for Eastern District of Texas",University of Notre Dame,,
Dedman School of Law,2015,1965,,,,,
Texas 5,Jeb Hensarling.jpg Jeb Hensarling,,Republican,energy executive,Texas A&M University,,
University of Texas at Austin,2003,1957,,,,,
Texas 6,Joe Barton Official.jpg Joe Barton,,Republican,oil industry consultant,Texas A&M University,,
Purdue University,1985,1949,,,,,
Texas 7,John Culberson official photo.jpg John Culberson,,Republican,Texas House of Representatives,Southern Methodist University,,
South Texas College of Law,2001,1956,,,,,
Texas 8,Official Congressional portrait of Congressman Kevin Brady.jpg Kevin Brady,,Republican,Texas House of Representatives,University of South Dakota,1997,1955
Texas 9,Al Green Official.jpg Al Green,,Democratic,"Harris County Justice of the Peace, Houston NAACP president",Florida A&M University,,
Tuskeegee Institute,,,,,,,
Texas Southern University,2005,1947,,,,,
Texas 10,Michael McCaul official photo.jpg Michael McCaul,,Republican,"Attorney, federal prosecutor",Trinity University,,
St. Mary's University,,,,,,,
Kennedy School of Government (attended),2005,1962,,,,,
Texas 11,Mike Conaway official congressional photo.jpg Mike Conaway,,Republican,oil exploration executive,Texas A&M University–Commerce,2005,1948
Texas 12,Kay Granger.jpg Kay Granger,,Republican,Mayor of Fort Worth,Texas Wesleyan University,1999,1943
Texas 13,"Mac Thornberry, Official Portrait, 111th Congress.jpg Mac Thornberry",,Republican,"Rancher, attorney",Texas Tech University,,
University of Texas Law School,1995,1958,,,,,
Texas 14,Randy Weber official congressional photo.jpg Randy Weber,,Republican,"Texas House of Representatives, Pearland City Council",University of Houston–Clear Lake,2013,1953
Texas 15,Rubengu.jpg Rubén Hinojosa,,Democratic,"food processing executive, Texas State Board of Education",University of Texas at Austin,,
University of Texas-Pan American,1997,1940,,,,,
Texas 16,"Beto O'Rourke, Official portrait, 113th Congress.jpg Beto O'Rourke",,Democratic,El Paso City Councilman,Columbia University,2013,1972
Texas 17,"Bill Flores, Official Portrait, 112th Congress.jpg Bill Flores",,Republican,businessman,Texas A&M University,,
Houston Baptist University,2011,1954,,,,,
Texas 18,Sheila Jackson-Lee.jpg Sheila Jackson Lee,,Democratic,"Houston City Council, municipal judge",Yale University,,
University of Virginia Law School,1995,1950,,,,,
Texas 19,Randy-neugebauer.jpg Randy Neugebauer,,Republican,"Lubbock City Council, real estate developer",Texas Tech University,2003*,1949
Texas 20,"Joaquin Castro, official portrait, 113th Congress.jpg Joaquín Castro",,Democratic,Texas House of Representatives,Stanford University,,
Harvard Law School,2013,1974,,,,,
Texas 21,"Lamar S. Smith, official Congressional photo portrait.jpg Lamar S. Smith",,Republican,"Bexar County Commissioner, Texas House of Representatives",Yale University,,
Southern Methodist University School of Law,1987,1947,,,,,
Texas 22,Pete Olson official congressional photo.jpg Pete Olson,,Republican,Congressional aide,Rice University,,
University of Texas at Austin,2009,1962,,,,,
Texas 23,Will Hurd Texas.jpg Will Hurd,,Republican,"Corporate adviser, former CIA operative",Texas A&M University,2015,1977
Texas 24,Kenny Marchant Official.jpg Kenny Marchant,,Republican,"Mayor of Carrolton, Texas House of Representatives",Southern Nazarene University,2005,1951
Texas 25,Roger Williams official congressional photo.jpg Roger Williams,,Republican,Secretary of State of Texas,Texas Christian University,2013,1949
Texas 26,Michael Burgess official photo.jpg Michael Burgess,,Republican,Physician,University of North Texas,,
University of Texas Health Science Center at Houston,2003,1950,,,,,
Texas 27,Blake Farenthold 2015.jpg Blake Farenthold,,Republican,attorney,University of Texas at Austin,,
St. Mary's University School of Law,2011,1961,,,,,
Texas 28,"Henry Cuellar, official color photo portrait.jpg Henry Cuellar",,Democratic,"Texas House of Representatives, Texas Secretary of State",Edmund A. Walsh School of Foreign Service,,
University of Texas at Austin,2005,1955,,,,,
Texas 29,Gene Green 113th Congress.jpg Gene Green,,Democratic,"Texas House of Representatives, Texas Senate",University of Houston,1993,1947
Texas 30,Eddie Bernice Johnson 113th Congress.jpg Eddie Johnson,,Democratic,"Texas Senate, nurse",Saint Mary's College-Indiana,,
Texas Christian University,,,,,,,
Southern Methodist University,1991,1935,,,,,
Texas 31,Rep. John Carter (RTX).jpg John Carter,,Republican,Texas state district judge,Texas Tech University,,
University of Texas at Austin,2003,1941,,,,,
Texas 32,Pete Sessions.jpg Pete Sessions,,Republican,marketing executive,Southwestern University,1997,1955
Texas 33,"Marc Veasey, Official portrait, 113th Congress.jpg Marc Veasey",,Democratic,Texas House of Representatives,Texas Wesleyan University,2013,1971
Texas 34,"Filemon Vela, Official Portrait, 113th Congress.jpg Filemon Vela, Jr.",,Democratic,Attorney,Georgetown University,,
University of Texas School of Law,2013,1963,,,,,
Texas 35,Lloyd Doggett 113th Congress.jpg Lloyd Doggett,,Democratic,"Texas Senate, Texas Supreme Court justice, college professor",University of Texas at Austin,1995,1946
Texas 36,Brian Babin official congressional photo 2.jpg Brian Babin,,Republican,"Lower Neches Valley Authority, Texas Historical Commission, Mayor of Woodville",Lamar University,,
University of Texas Dental School,2015,1948,,,,,
Utah 1,Rob Bishop Official (Utah politician).jpg Rob Bishop,,Republican,"Speaker of the Utah House of Representatives, Chairman of the Utah Republican Party",University of Utah,2003,1951
Utah 2,Chris Stewart official photo.jpg Chris Stewart,,Republican,"Author, businessman",Utah State University,2013,1960
Utah 3,"Jason Chaffetz, official portrait, 111th Congress.jpg Jason Chaffetz",,Republican,Business relations executive,Brigham Young University,2009,1967
Utah 4,Mia Love official portrait.jpg Mia Love,,Republican,Mayor of Saratoga Springs,University of Hartford,2015,1975
Vermont At Large,Representative Welch Official Portrait.jpg Peter Welch,,Democratic,Vermont Senate President Pro Tempore,College of the Holy Cross,,
"University of California, Berkeley",2007,1947,,,,,
Virginia 1,Rob Wittman official congressional photo.jpg Rob Wittman,,Republican,"Mayor of Montross, Westmoreland County Board of Supervisors, Virginia House of Delegates",Virginia Tech,,
University of North Carolina,,,,,,,
Virginia Commonwealth University,2007*,1959,,,,,
Virginia 2,Scott Rigell Official Photo.jpg Scott Rigell,,Republican,businessman,Mercer University,,
Regent University,2011,1960,,,,,
Virginia 3,BobbyScott.jpg Robert Scott,,Democratic,"Virginia Senate, Virginia House of Delegates",Harvard University,,
Boston College Law School,1993,1947,,,,,
Virginia 4,"Randy Forbes, official Congressional photo portrait, standing.jpg Randy Forbes",,Republican,"Virginia Senate, Virginia House of Delegates, Chairman of the Virginia Republican Party",Randolph-Macon College,,
University of Virginia School of Law,2001,1952,,,,,
Virginia 5,"Robert Hurt, Official Portrait, 112th Congress.jpg Robert Hurt",,Republican,"Virginia Senate, Virginia House of Delegates",Hampden-Sydney College,,
Mississippi College School of Law,2011,1969,,,,,
Virginia 6,Bob Goodlatte official photo.jpg Bob Goodlatte,,Republican,Private legal practice,Bates College,,
Washington and Lee University,1993,1952,,,,,
Virginia 7,Dave Brat official congressional photo.jpg Dave Brat,,Republican,Economics professor at Randolph–Macon College,Hope College,,
Princeton Theological Seminary,,,,,,,
American University,2014*,1964,,,,,
Virginia 8,"Don Beyer, official 114th Congress photo portrait.jpeg Don Beyer",,Democratic,"U.S. Ambassador to Switzerland and Liechtenstein, Lieutenant Governor of Virginia",Williams College,2015,1950
Virginia 9,"Morgan Griffith, Official Portrait, 112th Congress B.jpg Morgan Griffith",,Republican,Majority Leader of the Virginia House of Delegates,Emory and Henry College,,
Washington and Lee University,2011,1958,,,,,
Virginia 10,"Barbara Comstock official photo, 114th Congress.jpg Barbara Comstock",,Republican,Virginia House of Delegates,Middlebury College,,
Georgetown University Law Center,2015,1959,,,,,
Virginia 11,Connolly.jpg Gerry Connolly,,Democratic,Chairman of the Fairfax County Board of Supervisors,Maryknoll College (Illinois) (closed),,
Harvard University,2009,1950,,,,,
Washington 1,"Suzan DelBene, official portrait, 112th Congress.jpg Suzan DelBene",,Democratic,Washington Department of Revenue Director,Reed College,,
University of Washington,2012*,1963,,,,,
Washington 2,"Rick Larsen, official photo portrait color.jpg Rick Larsen",,Democratic,Snohomish County Council,Pacific Lutheran University,,
University of Minnesota,2001,1965,,,,,
Washington 3,"Jaime Herrera Beutler, official portrait, 112th Congress.jpg Jaime Herrera Beutler",,Republican,Washington House of Representatives,University of Washington,2011,1978
Washington 4,Dan Newhouse official congressional photo.jpg Dan Newhouse,,Republican,Washington House of Representatives,Washington State University,2015,1955
Washington 5,"Cathy McMorris Rodgers, Official Portrait, 112th Congress.jpg Cathy McMorris Rodgers",,Republican,Washington House of Representatives,Pensacola Christian College,,
University of Washington,2005,1969,,,,,
Washington 6,Derek Kilmer 113th Congress.jpg Derek Kilmer,,Democratic,Washington State Senate,Princeton University,,
University of Oxford,2013,1974,,,,,
Washington 7,Jimmcdermott.jpg Jim McDermott,,Democratic,"Psychiatrist, Washington State Senate",Wheaton College,,
University of Illinois,1989,1936,,,,,
Washington 8,"Dave Reichert, Official Portrait, 112th Congress.jpg Dave Reichert",,Republican,King County Sheriff,Concordia College,2005,1950
Washington 9,Profile adam smith.JPG Adam Smith,,Democratic,Washington State Senate,Fordham University,,
University of Washington,1997,1965,,,,,
Washington 10,"Denny Heck, Official Portrait, 113th Congress.jpg Dennis Heck",,Democratic,Washington House of Representatives,The Evergreen State College,2013,1952
West Virginia 1,David McKinley Official.jpg David McKinley,,Republican,"West Virginia House of Delegates, businessman",Purdue University,2011,1947
West Virginia 2,Alex Mooney.jpg Alex Mooney,,Republican,Maryland Senate,Dartmouth College,2015,1971
West Virginia 3,Evan Jenkins official congressional photo.jpg Evan Jenkins,,Republican,"West Virginia Senate, West Virginia House of Delegates",University of Florida,,
Cumberland School of Law,2015,1960,,,,,
Wisconsin 1,Paul Ryan--113th Congress--.png Paul Ryan,,Republican,Legislative Director,Miami University,1999,1970
Wisconsin 2,"Mark Pocan, official portrait, 113th Congress.jpg Mark Pocan",,Democratic,Wisconsin State Assembly,University of Wisconsin–Madison,2013,1964
Wisconsin 3,Ron kind portrait.jpg Ron Kind,,Democratic,County Prosecutor,London School of Economics,,
University of Minnesota,1997,1963,,,,,
Wisconsin 4,GSM Official Headshot.jpg Gwen Moore,,Democratic,"Wisconsin State Senate, Wisconsin State Assembly",Marquette University,2005,1951
Wisconsin 5,Sensibrenner.jpeg Jim Sensenbrenner,,Republican,"Wisconsin State Senate, Wisconsin State Assembly",Stanford University,,
University of Wisconsin,1979,1943,,,,,
Wisconsin 6,Glenn Grothman official congressional photo.jpg Glenn Grothman,,Republican,"Wisconsin Senate, Wisconsin State Assembly",University of Wisconsin–Madison,,
University of Wisconsin Law School,2015,1955,,,,,
Wisconsin 7,"Sean Duffy, Official Portrait, 112th Congress.jpg Sean Duffy",,Republican,Ashland County District Attorney,St. Mary's University,,
William Mitchell College of Law,2011,1971,,,,,
Wisconsin 8,"Reid Ribble, Official Portrait, 112th Congress 2.jpg Reid Ribble",,Republican,businessman,Grand Rapids School of Bible and Music,2011,1956
Wyoming At Large,CynthiaLummis.jpg Cynthia Lummis,,Republican,"Wyoming State Treasurer, Wyoming Senate, Wyoming House of Representatives",University of Wyoming,2009,1954
