Name,BirthDate,CurrentDate,CurrentAge,Gender,Address,Contact_URL,Url,Phone,Party,DateInOffice,EndOfTerm,YearsInOffice,AgeAtTakingOfficeYear,StateAbb,State,District,OfficeAddress,Position,BelieveClimateChange,Quote,QuoteSource,QuoteURL
Amy Klobuchar,25-May-60,15-Dec-16,56,F,302 Hart Senate Office Building Washington DC 20510,http://www.klobuchar.senate.gov/public/email-amy,http://www.klobuchar.senate.gov,202-224-3244,Democrat,4-Jan-07,3-Jan-19,9,46,MN,Minnesota,,302 Hart Senate Office Building,sen,Yes,,,
Ander Crenshaw,1-Sep-44,15-Dec-16,72,M,2161 Rayburn HOB; Washington DC 20515-0904,https://forms.house.gov/write/crenshaw/email-me.shtml,https://crenshaw.house.gov,202-225-2501,Republican,3-Jan-01,3-Jan-17,15,56,FL,Florida,5,2161 Rayburn House Office Building,rep,,,,
Andrí€Œ© Carson,16-Oct-74,15-Dec-16,42,M,2453 Rayburn HOB; Washington DC 20515-1407,https://carson.house.gov/contact/email-me,http://carson.house.gov,202-225-4011,Democrat,13-Mar-08,3-Jan-17,8,33,IN,Indiana,8,2453 Rayburn House Office Building,rep,Yes,,,
Andy Barr,24-Jul-73,15-Dec-16,43,M,1432 Longworth HOB; Washington DC 20515-1706,https://barr.house.gov/contact/email-me,https://barr.house.gov,202-225-4706,Republican,3-Jan-13,3-Jan-17,3,39,KY,Kentucky,7,1432 Longworth House Office Building,rep,,,,
Andy Harris,25-Jan-57,15-Dec-16,59,M,1533 Longworth HOB; Washington DC 20515-2001,https://harris.house.gov/contact-me/email-me,http://harris.house.gov,202-225-5311,Republican,5-Jan-11,3-Jan-17,5,53,MD,Maryland,2,1533 Longworth House Office Building,rep,,,,
"Angus S. King, Jr.",31-Mar-44,15-Dec-16,72,M,133 Hart Senate Office Building Washington DC 20510,http://www.king.senate.gov/contact,http://www.king.senate.gov,202-224-5344,Independent,3-Jan-13,3-Jan-19,3,68,ME,Maine,,133 Hart Senate Office Building,sen,Yes,,,
Ann Kirkpatrick,24-Mar-50,15-Dec-16,66,F,201 Cannon HOB; Washington DC 20515-0301,https://kirkpatrick.house.gov/contact/email-me,http://kirkpatrick.house.gov,202-225-3361,Democrat,6-Jan-09,3-Jan-17,7,58,AZ,Arizona,2,201 Cannon House Office Building,rep,Yes,,,
Ann M. Kuster,5-Sep-56,15-Dec-16,60,F,137 Cannon HOB; Washington DC 20515-2902,https://kuster.house.gov/contact/email-me,http://kuster.house.gov,202-225-5206,Democrat,3-Jan-13,3-Jan-17,3,56,NH,New Hampshire,3,137 Cannon House Office Building,rep,Yes,,,
Ann Wagner,13-Sep-62,15-Dec-16,54,F,435 Cannon HOB; Washington DC 20515-2502,https://wagner.house.gov/contact/email-me,http://wagner.house.gov,202-225-1621,Republican,3-Jan-13,3-Jan-17,3,50,MO,Missouri,3,435 Cannon House Office Building,rep,,,,
Anna G. Eshoo,13-Dec-42,15-Dec-16,74,F,241 Cannon HOB; Washington DC 20515-0518,https://eshoo.house.gov/email-me/,http://eshoo.house.gov,202-225-8104,Democrat,5-Jan-93,3-Jan-17,23,50,CA,California,19,241 Cannon House Office Building,rep,Yes,,,
Austin Scott,10-Dec-69,15-Dec-16,47,M,2417 Rayburn HOB; Washington DC 20515-1008,https://austinscott.house.gov/email-me/,http://austinscott.house.gov,202-225-6531,Republican,5-Jan-11,3-Jan-17,5,41,GA,Georgia,9,2417 Rayburn House Office Building,rep,,,,
Barbara A. Mikulski,20-Jul-36,15-Dec-16,80,F,503 Hart Senate Office Building Washington DC 20510,http://www.mikulski.senate.gov/contact/shareyouropinion.cfm,https://www.mikulski.senate.gov,202-224-4654,Democrat,4-Jan-77,3-Jan-17,39,40,MD,Maryland,,503 Hart Senate Office Building,sen,Yes,,,
Barbara Boxer,11-Nov-40,15-Dec-16,76,F,112 Hart Senate Office Building Washington DC 20510,https://www.boxer.senate.gov/contact/shareyourviews.html,https://www.boxer.senate.gov,202-224-3553,Democrat,3-Jan-83,3-Jan-17,33,42,CA,California,,112 Hart Senate Office Building,sen,Yes,,,
Barbara Comstock,30-Jun-59,15-Dec-16,57,F,226 Cannon HOB; Washington DC 20515-4610,,https://comstock.house.gov,202-225-5136,Republican,6-Jan-15,3-Jan-17,1,55,VA,Virginia,11,226 Cannon House Office Building,rep,,,,
Barbara Lee,16-Jul-46,15-Dec-16,70,F,2267 Rayburn HOB; Washington DC 20515-0513,http://lee.house.gov/contact-the-office/email-me,http://lee.house.gov,202-225-2661,Democrat,7-Apr-98,3-Jan-17,18,51,CA,California,14,2267 Rayburn House Office Building,rep,Yes,,,
Barry Loudermilk,22-Dec-63,15-Dec-16,52,M,238 Cannon HOB; Washington DC 20515-1011,,http://loudermilk.house.gov,202-225-2931,Republican,6-Jan-15,3-Jan-17,1,51,GA,Georgia,12,238 Cannon House Office Building,rep,,,,
Ben Ray Lují€Œçn,7-Jun-72,15-Dec-16,44,M,2446 Rayburn HOB; Washington DC 20515-3103,https://forms.house.gov/lujan/contact-form.shtml,http://lujan.house.gov,202-225-6190,Democrat,6-Jan-09,3-Jan-17,7,36,NM,New Mexico,4,2446 Rayburn House Office Building,rep,Yes,,,
Ben Sasse,22-Feb-72,15-Dec-16,44,M,386A Russell Senate Office Building Washington DC 20510,,http://www.sasse.senate.gov,202-224-4224,Republican,6-Jan-15,3-Jan-21,1,42,NE,Nebraska,,386a Russell Senate Office Building,sen,,,,
Benjamin L. Cardin,5-Oct-43,15-Dec-16,73,M,509 Hart Senate Office Building Washington DC 20510,http://www.cardin.senate.gov/contact/,https://www.cardin.senate.gov,202-224-4524,Democrat,6-Jan-87,3-Jan-19,29,43,MD,Maryland,,509 Hart Senate Office Building,sen,Yes,,,
Bennie G. Thompson,28-Jan-48,15-Dec-16,68,M,2466 Rayburn HOB; Washington DC 20515-2402,https://forms.house.gov/benniethompson/contact-form.shtml,http://benniethompson.house.gov,202-225-5876,Democrat,13-Apr-93,3-Jan-17,23,45,MS,Mississippi,3,2466 Rayburn House Office Building,rep,Yes,,,
Bernard Sanders,8-Sep-41,15-Dec-16,75,M,332 Dirksen Senate Office Building Washington DC 20510,http://www.sanders.senate.gov/contact/comment,http://www.sanders.senate.gov,202-224-5141,Independent,3-Jan-91,3-Jan-19,25,49,VT,Vermont,,332 Dirksen Senate Office Building,sen,Yes,,,
Beto O'Rourke,26-Sep-72,15-Dec-16,44,M,1330 Longworth HOB; Washington DC 20515-4316,https://orourkeforms.house.gov/forms/writeyourrep/,http://orourke.house.gov,202-225-4831,Democrat,3-Jan-13,3-Jan-17,3,40,TX,Texas,17,1330 Longworth House Office Building,rep,Yes,,,
Betty McCollum,12-Jul-54,15-Dec-16,62,F,2256 Rayburn HOB; Washington DC 20515-2304,https://mccollum.house.gov/contact-me/email-me,http://mccollum.house.gov,202-225-6631,Democrat,3-Jan-01,3-Jan-17,15,46,MN,Minnesota,5,2256 Rayburn House Office Building,rep,Yes,,,
Bill Cassidy,28-Sep-57,15-Dec-16,59,M,703 Hart Senate Office Building Washington DC 20510,https://cassidy.house.gov/contact/email-me,http://www.cassidy.senate.gov,202-224-5824,Republican,6-Jan-09,3-Jan-21,7,51,LA,Louisiana,,703 Hart Senate Office Building,sen,,,,
Bill Flores,25-Feb-54,15-Dec-16,62,M,1030 Longworth HOB; Washington DC 20515-4317,https://billflores.house.gov/contact/,http://flores.house.gov,202-225-6105,Republican,5-Jan-11,3-Jan-17,5,56,TX,Texas,18,1030 Longworth House Office Building,rep,,,,
Bill Foster,7-Oct-55,15-Dec-16,61,M,1224 Longworth HOB; Washington DC 20515-1311,https://foster.house.gov/contact/email-me,http://foster.house.gov,202-225-3515,Democrat,8-Mar-08,3-Jan-17,8,52,IL,Illinois,12,1224 Longworth House Office Building,rep,Yes,,,
Bill Huizenga,31-Jan-69,15-Dec-16,47,M,1217 Longworth HOB; Washington DC 20515-2202,http://huizenga.house.gov/contact/,http://huizenga.house.gov,202-225-4401,Republican,5-Jan-11,3-Jan-17,5,41,MI,Michigan,3,1217 Longworth House Office Building,rep,,,,
Bill Johnson,10-Nov-54,15-Dec-16,62,M,1710 Longworth HOB; Washington DC 20515-3506,http://billjohnson.house.gov/contact/default.aspx,http://billjohnson.house.gov,202-225-5705,Republican,5-Jan-11,3-Jan-17,5,56,OH,Ohio,7,1710 Longworth House Office Building,rep,,,,
Bill Nelson,29-Sep-42,15-Dec-16,74,M,716 Hart Senate Office Building Washington DC 20510,http://www.billnelson.senate.gov/contact-bill,https://www.billnelson.senate.gov,202-224-5274,Democrat,15-Jan-79,3-Jan-19,37,36,FL,Florida,,716 Hart Senate Office Building,sen,Yes,,,
Bill Pascrell Jr.,25-Jan-37,15-Dec-16,79,M,2370 Rayburn HOB; Washington DC 20515-3009,https://pascrell.house.gov/contact/email-me,http://pascrell.house.gov,202-225-5751,Democrat,7-Jan-97,3-Jan-17,19,59,NJ,New Jersey,10,2370 Rayburn House Office Building,rep,Yes,,,
Bill Posey,18-Dec-47,15-Dec-16,68,M,120 Cannon HOB; Washington DC 20515-0908,https://posey.house.gov/forms/writeyourrep/,http://posey.house.gov,202-225-3671,Republican,6-Jan-09,3-Jan-17,7,61,FL,Florida,9,120 Cannon House Office Building,rep,,,,
Bill Shuster,10-Jan-61,15-Dec-16,55,M,2268 Rayburn HOB; Washington DC 20515-3809,http://shuster.house.gov/contact-form/,http://shuster.house.gov,202-225-2431,Republican,17-May-01,3-Jan-17,15,40,PA,Pennsylvania,10,2268 Rayburn House Office Building,rep,,,,
Billy Long,11-Aug-55,15-Dec-16,61,M,1541 Longworth HOB; Washington DC 20515-2507,https://longforms.house.gov/email-billy,http://long.house.gov,202-225-6536,Republican,5-Jan-11,3-Jan-17,5,55,MO,Missouri,8,1541 Longworth House Office Building,rep,,,,
Blaine Luetkemeyer,7-May-52,15-Dec-16,64,M,2440 Rayburn HOB; Washington DC 20515-2503,https://luetkemeyer.house.gov/forms/writeyourrep/,http://luetkemeyer.house.gov,202-225-2956,Republican,6-Jan-09,3-Jan-17,7,56,MO,Missouri,4,2440 Rayburn House Office Building,rep,,,,
Blake Farenthold,12-Dec-61,15-Dec-16,55,M,1027 Longworth HOB; Washington DC 20515-4327,http://farentholdforms.house.gov/contact/email.htm,http://farenthold.house.gov,202-225-7742,Republican,5-Jan-11,3-Jan-17,5,49,TX,Texas,28,1027 Longworth House Office Building,rep,,,,
Bob Corker,24-Aug-52,15-Dec-16,64,M,425 Dirksen Senate Office Building Washington DC 20510,http://www.corker.senate.gov/public/index.cfm/emailme,http://www.corker.senate.gov,202-224-3344,Republican,4-Jan-07,3-Jan-19,9,54,TN,Tennessee,,425 Dirksen Senate Office Building,sen,,,,
Bob Gibbs,14-Jun-54,15-Dec-16,62,M,329 Cannon HOB; Washington DC 20515-3507,https://gibbs.house.gov/contact-me/email-me,http://gibbs.house.gov,202-225-6265,Republican,5-Jan-11,3-Jan-17,5,56,OH,Ohio,8,329 Cannon House Office Building,rep,,,,
Bob Goodlatte,22-Sep-52,15-Dec-16,64,M,2309 Rayburn HOB; Washington DC 20515-4606,http://goodlatte.house.gov/contacts/new,http://goodlatte.house.gov,202-225-5431,Republican,5-Jan-93,3-Jan-17,23,40,VA,Virginia,7,2309 Rayburn House Office Building,rep,,,,
Bobby L. Rush,23-Nov-46,15-Dec-16,70,M,2188 Rayburn HOB; Washington DC 20515-1301,https://rush.house.gov/contact-me/legislative-issues,http://rush.house.gov,202-225-4372,Democrat,5-Jan-93,3-Jan-17,23,46,IL,Illinois,2,2188 Rayburn House Office Building,rep,Yes,,,
Bonnie Watson Coleman,6-Feb-45,15-Dec-16,71,F,126 Cannon HOB; Washington DC 20515-3012,,https://watsoncoleman.house.gov,202-225-5801,Democrat,6-Jan-15,3-Jan-17,1,69,NJ,New Jersey,13,126 Cannon House Office Building,rep,Yes,,,
Brad Ashford,10-Nov-49,15-Dec-16,67,M,107 Cannon HOB; Washington DC 20515-2702,,https://ashford.house.gov,202-225-4155,Democrat,6-Jan-15,3-Jan-17,1,65,NE,Nebraska,3,107 Cannon House Office Building,rep,Yes,,,
Brad R. Wenstrup,17-Jun-58,15-Dec-16,58,M,1318 Longworth HOB; Washington DC 20515-3502,http://wenstrup.house.gov/contact/,http://wenstrup.house.gov,202-225-3164,Republican,3-Jan-13,3-Jan-17,3,54,OH,Ohio,3,1318 Longworth House Office Building,rep,,,,
Brad Sherman,24-Oct-54,15-Dec-16,62,M,2242 Rayburn HOB; Washington DC 20515-0530,http://sherman.house.gov/contact/contact-congressman-sherman-form,http://sherman.house.gov,202-225-5911,Democrat,7-Jan-97,3-Jan-17,19,42,CA,California,31,2242 Rayburn House Office Building,rep,Yes,,,
Bradley Byrne,16-Feb-55,15-Dec-16,61,M,119 Cannon HOB; Washington DC 20515-0101,https://byrne.house.gov/contact/email-me,https://byrne.house.gov,202-225-4931,Republican,8-Jan-14,3-Jan-17,2,58,AL,Alabama,2,119 Cannon House Office Building,rep,,,,
Brenda L. Lawrence,18-Oct-54,15-Dec-16,62,F,1237 Longworth HOB; Washington DC 20515-2214,,https://lawrence.house.gov,202-225-5802,Democrat,6-Jan-15,3-Jan-17,1,60,MI,Michigan,15,1237 Longworth House Office Building,rep,Yes,,,
Brendan F. Boyle,6-Feb-77,15-Dec-16,39,M,118 Cannon HOB; Washington DC 20515-3813,,https://boyle.house.gov,202-225-6111,Democrat,6-Jan-15,3-Jan-17,1,37,PA,Pennsylvania,14,118 Cannon House Office Building,rep,Yes,,,
Brett Guthrie,18-Feb-64,15-Dec-16,52,M,2434 Rayburn HOB; Washington DC 20515-1702,http://brettguthrieforms.house.gov/contact/,http://guthrie.house.gov,202-225-3501,Republican,6-Jan-09,3-Jan-17,7,44,KY,Kentucky,3,2434 Rayburn House Office Building,rep,,,,
Brian Babin,23-Mar-48,15-Dec-16,68,M,316 Cannon HOB; Washington DC 20515-4336,,http://babin.house.gov,202-225-1555,Republican,6-Jan-15,3-Jan-17,1,66,TX,Texas,37,316 Cannon House Office Building,rep,,,,
Brian Higgins,6-Oct-59,15-Dec-16,57,M,2459 Rayburn HOB; Washington DC 20515-3226,http://higgins.house.gov/contact/email-brian,http://higgins.house.gov,202-225-3306,Democrat,4-Jan-05,3-Jan-17,11,45,NY,New York,27,2459 Rayburn House Office Building,rep,Yes,,,
Brian Schatz,20-Oct-72,15-Dec-16,44,M,722 Hart Senate Office Building Washington DC 20510,http://www.schatz.senate.gov/contact,http://www.schatz.senate.gov,202-224-3934,Democrat,27-Dec-12,3-Jan-17,3,40,HI,Hawaii,,722 Hart Senate Office Building,sen,Yes,,,
Bruce Poliquin,1-Nov-53,15-Dec-16,63,M,426 Cannon HOB; Washington DC 20515-1902,,https://poliquin.house.gov,202-225-6306,Republican,6-Jan-15,3-Jan-17,1,61,ME,Maine,3,426 Cannon House Office Building,rep,,,,
Bruce Westerman,18-Nov-67,15-Dec-16,49,M,130 Cannon HOB; Washington DC 20515-0404,,https://westerman.house.gov,202-225-3772,Republican,6-Jan-15,3-Jan-17,1,47,AR,Arkansas,5,130 Cannon House Office Building,rep,,,,
C. A. Dutch Ruppersberger,31-Jan-46,15-Dec-16,70,M,2416 Rayburn HOB; Washington DC 20515-2002,http://ruppersberger.house.gov/contact-dutch/email-dutch,http://ruppersberger.house.gov,202-225-3061,Democrat,7-Jan-03,3-Jan-17,13,56,MD,Maryland,3,2416 Rayburn House Office Building,rep,Yes,,,
Candice S. Miller,7-May-54,15-Dec-16,62,F,320 Cannon HOB; Washington DC 20515-2210,http://candicemiller.house.gov/contact,http://candicemiller.house.gov,202-225-2106,Republican,7-Jan-03,3-Jan-17,13,48,MI,Michigan,11,320 Cannon House Office Building,rep,,,,
Carlos Curbelo,1-Mar-80,15-Dec-16,36,M,1429 Longworth HOB; Washington DC 20515-0926,,http://curbelo.house.gov,202-225-2778,Republican,6-Jan-15,3-Jan-17,1,34,FL,Florida,27,1429 Longworth House Office Building,rep,,,,
Carolyn B. Maloney,19-Feb-46,15-Dec-16,70,F,2308 Rayburn HOB; Washington DC 20515-3212,https://maloney.house.gov/contact-me/email-me,http://maloney.house.gov,202-225-7944,Democrat,5-Jan-93,3-Jan-17,23,46,NY,New York,13,2308 Rayburn House Office Building,rep,Yes,,,
Cathy McMorris Rodgers,22-May-69,15-Dec-16,47,F,203 Cannon HOB; Washington DC 20515-4705,https://mcmorrisforms.house.gov/write-to-cathy1,http://mcmorris.house.gov,202-225-2006,Republican,4-Jan-05,3-Jan-17,11,35,WA,Washington,6,203 Cannon House Office Building,rep,,,,
Cedric L. Richmond,13-Sep-73,15-Dec-16,43,M,240 Cannon HOB; Washington DC 20515-1802,https://richmond.house.gov/contact-me/email-me,http://richmond.house.gov,202-225-6636,Democrat,5-Jan-11,3-Jan-17,5,37,LA,Louisiana,3,240 Cannon House Office Building,rep,Yes,,,
Charles B. Rangel,11-Jun-30,15-Dec-16,86,M,2354 Rayburn HOB; Washington DC 20515-3213,https://rangel.house.gov/contact-me/email-me,http://rangel.house.gov,202-225-4365,Democrat,21-Jan-71,3-Jan-17,45,40,NY,New York,14,2354 Rayburn House Office Building,rep,Yes,,,
Charles E. Schumer,23-Nov-50,15-Dec-16,66,M,322 Hart Senate Office Building Washington DC 20510,http://www.schumer.senate.gov/Contact/email-chuck,https://www.schumer.senate.gov,202-224-6542,Democrat,5-Jan-81,3-Jan-17,35,30,NY,New York,,322 Hart Senate Office Building,sen,Yes,,,
"Charles J. ""Chuck"" Fleischmann",11-Oct-62,15-Dec-16,54,M,230 Cannon HOB; Washington DC 20515-4203,https://fleischmann.house.gov/contact-me/email-me,http://fleischmann.house.gov,202-225-3271,Republican,5-Jan-11,3-Jan-17,5,48,TN,Tennessee,4,230 Cannon House Office Building,rep,,,,
Charles W. Boustany Jr.,21-Feb-56,15-Dec-16,60,M,1431 Longworth HOB; Washington DC 20515-1803,https://boustanyforms.house.gov/contact-me/,http://boustany.house.gov,202-225-2031,Republican,4-Jan-05,3-Jan-17,11,48,LA,Louisiana,4,1431 Longworth House Office Building,rep,,,,
Charles W. Dent,24-May-60,15-Dec-16,56,M,2211 Rayburn HOB; Washington DC 20515-3815,https://dent.house.gov/?p=ContactForm,https://dent.house.gov,202-225-6411,Republican,4-Jan-05,3-Jan-17,11,44,PA,Pennsylvania,16,2211 Rayburn House Office Building,rep,,,,
Chellie Pingree,2-Apr-55,15-Dec-16,61,F,2162 Rayburn HOB; Washington DC 20515-1901,https://pingree.house.gov/email-me,https://pingree.house.gov,202-225-6116,Democrat,6-Jan-09,3-Jan-17,7,53,ME,Maine,2,2162 Rayburn House Office Building,rep,Yes,,,
Cheri Bustos,17-Oct-61,15-Dec-16,55,F,1009 Longworth HOB; Washington DC 20515-1317,http://bustos.house.gov/contact,http://bustos.house.gov,202-225-5905,Democrat,3-Jan-13,3-Jan-17,3,51,IL,Illinois,18,1009 Longworth House Office Building,rep,Yes,,,
Chris Collins,20-May-50,15-Dec-16,66,M,1117 Longworth HOB; Washington DC 20515-3227,https://chriscollins.house.gov/contact/email-me,http://chriscollins.house.gov,202-225-5265,Republican,3-Jan-13,3-Jan-17,3,62,NY,New York,28,1117 Longworth House Office Building,rep,,,,
Chris Stewart,15-Jul-60,15-Dec-16,56,M,323 Cannon HOB; Washington DC 20515-4402,https://stewart.house.gov/contact/email-me,http://stewart.house.gov,202-225-9730,Republican,3-Jan-13,3-Jan-17,3,52,UT,Utah,3,323 Cannon House Office Building,rep,,,,
Chris Van Hollen,10-Jan-59,15-Dec-16,57,M,1707 Longworth HOB; Washington DC 20515-2008,http://vanhollen.house.gov/contact/,https://vanhollen.house.gov,202-225-5341,Democrat,7-Jan-03,3-Jan-17,13,43,MD,Maryland,9,1707 Longworth House Office Building,rep,Yes,,,
Christopher A. Coons,9-Sep-63,15-Dec-16,53,M,127A Russell Senate Office Building Washington DC 20510,http://www.coons.senate.gov/contact/,https://www.coons.senate.gov,202-224-5042,Democrat,15-Nov-10,3-Jan-21,6,47,DE,Delaware,,127a Russell Senate Office Building,sen,Yes,,,
Christopher H. Smith,4-Mar-53,15-Dec-16,63,M,2373 Rayburn HOB; Washington DC 20515-3004,https://chrissmith.house.gov/contact/write.htm,http://chrissmith.house.gov,202-225-3765,Republican,5-Jan-81,3-Jan-17,35,27,NJ,New Jersey,5,2373 Rayburn House Office Building,rep,,,,
Christopher Murphy,3-Aug-73,15-Dec-16,43,M,136 Hart Senate Office Building Washington DC 20510,http://www.murphy.senate.gov/contact,http://www.murphy.senate.gov,202-224-4041,Democrat,4-Jan-07,3-Jan-19,9,33,CT,Connecticut,,136 Hart Senate Office Building,sen,Yes,,,
Christopher P. Gibson,13-May-64,15-Dec-16,52,M,1708 Longworth HOB; Washington DC 20515-3219,http://gibson.house.gov/contact/,http://gibson.house.gov,202-225-5614,Republican,5-Jan-11,3-Jan-17,5,46,NY,New York,20,1708 Longworth House Office Building,rep,,,,
Chuck Grassley,17-Sep-33,15-Dec-16,83,M,135 Hart Senate Office Building Washington DC 20510,http://www.grassley.senate.gov/constituents/questions-and-comments,http://www.grassley.senate.gov,202-224-3744,Republican,14-Jan-75,3-Jan-17,41,41,IA,Iowa,,135 Hart Senate Office Building,sen,,,,
Claire McCaskill,24-Jul-53,15-Dec-16,63,F,730 Hart Senate Office Building Washington DC 20510,http://www.mccaskill.senate.gov/?p=contact,https://www.mccaskill.senate.gov,202-224-6154,Democrat,4-Jan-07,3-Jan-19,9,53,MO,Missouri,,730 Hart Senate Office Building,sen,Yes,,,
Colleen Hanabusa,4-May-51,15-Dec-16,65,F,422 Cannon HOB; Washington DC 20515-1101,https://hanabusa.house.gov/contact/email,https://hanabusa.house.gov/,202-225-2726,Democrat,5-Jan-11,3-Jan-17,5,59,HI,Hawaii,2,422 Cannon House Office Building,rep,Yes,,,
Collin C. Peterson,29-Jun-44,15-Dec-16,72,M,2204 Rayburn HOB; Washington DC 20515-2307,https://collinpeterson.house.gov/contact-me/email-me,http://collinpeterson.house.gov,202-225-2165,Democrat,3-Jan-91,3-Jan-17,25,46,MN,Minnesota,8,2204 Rayburn House Office Building,rep,No,"""We’ve just had the biggest floods and coldest winters we’ve ever had. They’re saying to us [that climate change is] going to be a big problem because it’s going to be warmer than it usually is; my farmers are going to say that’s a good thing since they’ll be able to grow more corn.""","Wall Street Journal, 6/17/2009",http://www.wsj.com/articles/SB124520189754821613
Corrine Brown,11-Nov-46,15-Dec-16,70,F,2111 Rayburn HOB; Washington DC 20515-0905,https://forms.house.gov/corrinebrown/webforms/contact-me.shtml,https://corrinebrown.house.gov,202-225-0123,Democrat,5-Jan-93,3-Jan-17,23,46,FL,Florida,6,2111 Rayburn House Office Building,rep,Yes,,,
Cory A. Booker,27-Apr-69,15-Dec-16,47,M,359 Dirksen Senate Office Building Washington DC 20510,http://www.booker.senate.gov/?p=contact,http://www.booker.senate.gov,202-224-3224,Democrat,31-Oct-13,3-Jan-21,3,44,NJ,New Jersey,,359 Dirksen Senate Office Building,sen,Yes,,,
Cory Gardner,22-Aug-74,15-Dec-16,42,M,354 Russell Senate Office Building Washington DC 20510,https://gardner.house.gov/contact-me,https://www.gardner.senate.gov,202-224-5941,Republican,5-Jan-11,3-Jan-21,5,36,CO,Colorado,,354 Russell Senate Office Building,sen,,,,
Cresent Hardy,23-Jun-57,15-Dec-16,59,M,430 Cannon HOB; Washington DC 20515-2804,,https://hardy.house.gov,202-225-9894,Republican,6-Jan-15,3-Jan-17,1,57,NV,Nevada,5,430 Cannon House Office Building,rep,,,,
Curt Clawson,28-Sep-59,15-Dec-16,57,M,228 Cannon HOB; Washington DC 20515-0919,,http://clawson.house.gov,202-225-2536,Republican,24-Jun-14,3-Jan-17,2,54,FL,Florida,20,228 Cannon House Office Building,rep,,,,
